Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Shai Gilgeous-Alexander,26,OKC,71,913,1000,0.913,76,34.2,32.7,5.0,6.4,1.7,1.0,.519,.375,.898,16.7,.309,gilgesh01
2,Nikola Jokić,29,DEN,29,787,1000,0.787,70,36.7,29.6,12.7,10.2,1.8,0.6,.576,.417,.800,16.4,.307,jokicni01
3,Giannis Antetokounmpo,30,MIL,0,470,1000,0.470,67,34.2,30.4,11.9,6.5,0.9,1.2,.601,.222,.617,11.5,.241,antetgi01
4,Jayson Tatum,26,BOS,0,311,1000,0.311,72,36.4,26.8,8.7,6.0,1.1,0.5,.452,.343,.814,9.5,.174,tatumja01
5,Donovan Mitchell,28,CLE,0,74,1000,0.074,71,31.4,24.0,4.5,5.0,1.3,0.2,.443,.368,.823,7.6,.163,mitchdo01
6,LeBron James,40,LAL,0,16,1000,0.016,70,34.9,24.4,7.8,8.2,1.0,0.6,.513,.376,.782,7.7,.152,jamesle01
7T,Cade Cunningham,23,DET,0,12,1000,0.012,70,35.0,26.1,6.1,9.1,1.0,0.8,.469,.356,.846,5.9,.115,cunnica01
7T,Anthony Edwards,23,MIN,0,12,1000,0.012,79,36.3,27.6,5.7,4.5,1.2,0.6,.447,.395,.837,8.4,.140,edwaran01
9,Stephen Curry,36,GSW,0,2,1000,0.002,70,32.2,24.5,4.4,6.0,1.1,0.4,.448,.397,.933,7.9,.168,curryst01
10T,Jalen Brunson,28,NYK,0,1,1000,0.001,65,35.4,26.0,2.9,7.3,0.9,0.1,.488,.383,.821,8.3,.172,brunsja01
10T,James Harden,35,LAC,0,1,1000,0.001,79,35.3,22.8,5.8,8.7,1.5,0.7,.410,.352,.874,8.3,.143,hardeja01
10T,Evan Mobley,23,CLE,0,1,1000,0.001,71,30.5,18.5,9.3,3.2,0.9,1.6,.557,.370,.725,9.0,.200,mobleev01
